Ссылка;Адрес;Год ввода в эксплуатацию;Детская площадка;Дом признан аварийным;Дополнительная информация;Количество жилых помещений;Класс энергетической эффективности;Количество лифтов;Количество подъездов;Лифты;Наибольшее количество этажей;Наименьшее количество этажей;Количество нежилых помещений;Площадь жилых помещений м2;Площадь нежилых помещений м2;Площадь помещений общего имущества м2;Площадь зем. участка общего имущества м2;Площадь парковки м2;Серия, тип постройки здания;Спортивная площадка;Формирование фонда кап. ремонта;Тип дома;Оборудование;Количество мусоропроводов, ед.;Несущие стены;Площадь подвала, кв.м;Крыша;Мусоропровод;Перекрытия;Фасад;Фундамент;Количество вводов в дом, ед.;Объем выгребных ям, куб. м.;Вентиляция;Водоотведение;Система водостоков;Газоснабжение;Горячее водоснабжение;Система пожаротушения;Теплоснабжение;Холодное водоснабжение;Электроснабжение
http://dom.mingkh.ru/chelyabinskaya-oblast/chelyabinsk/641054;ул. 50-летия ВЛКСМ 5;1973;Есть;Нет;нет;178;Не присвоен;5;5;пассажирские - 5, ;9;9;1;9869.70;62.30;2541.30;0.00;0.00;1-ЛГ-602;Есть;На счете регионального оператора;Многоквартирный дом;Антенна общего пользования;5;Панельные;1533.70;Плоская;На лестничной клетке;Железобетонные;Соответствует материалу стен;Иной;2;0.00;Вытяжная вентиляция;Центральное;Внутренние водостоки;Центральное;Центральное (закрытая система);Отсутствует;Центральное;Центральное;Центральное
http://dom.mingkh.ru/chelyabinskaya-oblast/chelyabinsk/533396;п. Аэропорт 11;1961;Не имеется;Нет;-;48;Не присвоен;-;3;-;4;4;-;2041.10;0.00;146.50;8533.00;0.00;несерийный;Не имеется;На счете регионального оператора;Многоквартирный дом;нет;-;Блочные;0.00;Скатная;Отсутствует;Железобетонные;Соответствует материалу стен;Ленточный;1;0.00;Приточно-вытяжная вентиляция;Центральное;Наружные водостоки;Центральное;Центральное (открытая система);Отсутствует;Центральное;Центральное;Центральное
http://dom.mingkh.ru/chelyabinskaya-oblast/chelyabinsk/533398;п. Аэропорт 13;1969;Не имеется;Нет;-;65;Не присвоен;-;4;-;5;5;-;2991.40;224.80;961.70;12224.00;0.00;1-447С;Не имеется;На счете регионального оператора;Многоквартирный дом;нет;-;Каменные, кирпичные;677.90;Плоская;Отсутствует;Железобетонные;Соответствует материалу стен;Ленточный;1;0.00;Приточно-вытяжная вентиляция;Центральное;Внутренние водостоки;Центральное;Центральное (открытая система);Отсутствует;Центральное;Центральное;Центральное
http://dom.mingkh.ru/chelyabinskaya-oblast/chelyabinsk/533399;п. Аэропорт 14;1972;Не имеется;Нет;-;70;Не присвоен;-;4;-;5;5;-;3256.90;0.00;839.80;10611.00;0.00;1-447С;Не имеется;На счете регионального оператора;Многоквартирный дом;нет;-;Каменные, кирпичные;660.00;Плоская;Отсутствует;Железобетонные;Соответствует материалу стен;Ленточный;1;0.00;Приточно-вытяжная вентиляция;Центральное;Внутренние водостоки;Центральное;Центральное (открытая система);Отсутствует;Центральное;Центральное;Центральное
http://dom.mingkh.ru/chelyabinskaya-oblast/chelyabinsk/533390;п. Аэропорт 5;1959;Не имеется;Нет;-;18;Не присвоен;-;3;-;2;2;-;959.40;0.00;78.20;6846.00;0.00;несерийный;Не имеется;На счете регионального оператора;Многоквартирный дом;нет;-;Каменные, кирпичные;0.00;Скатная;Отсутствует;Деревянные;Соответствует материалу стен;Ленточный;1;0.00;Приточно-вытяжная вентиляция;Центральное;Наружные водостоки;Центральное;Центральное (открытая система);Отсутствует;Центральное;Центральное;Центральное
http://dom.mingkh.ru/chelyabinskaya-oblast/chelyabinsk/540759;ст. Чурилово 2108 км 9;1935;-;Нет;-;-;-;-;1;-;1;-;-;248.50;0.00;-;-;-;-;-;-;Жилой дом блокированной застройки;-;-;Деревянные;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
http://dom.mingkh.ru/chelyabinskaya-oblast/chelyabinsk/826576;ул. Крупская 23;1980;-;Нет;-;-;-;-;-;-;-;-;-;4663.71;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Автономное;-;-;-;-;-
http://dom.mingkh.ru/chelyabinskaya-oblast/chelyabinsk/826577;ул. Крупская 30;1969;-;Нет;-;-;-;-;-;-;-;-;-;2291.60;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Автономное;-;-;-;-;-
http://dom.mingkh.ru/chelyabinskaya-oblast/chelyabinsk/826581;ул. ОПСМ-42 4;1985;-;Нет;-;-;-;-;-;-;-;-;-;2703.60;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
http://dom.mingkh.ru/chelyabinskaya-oblast/chelyabinsk/826582;ул. ОПСМ-42 6;1993;-;Нет;-;-;-;-;-;-;-;-;-;6627.30;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
http://dom.mingkh.ru/chelyabinskaya-oblast/chelyabinsk/360636;ул. 40-летия Победы 40;1988;Есть;Нет;Нет дополнительной информации;238;Не присвоен;6;6;пассажирские - 6, ;10;10;4;13054.00;117.80;3156.50;0.00;0.00;121;Не имеется;На счете регионального оператора;Многоквартирный дом;Нет другого оборудования;6;Панельные;1778.30;Плоская;На лестничной клетке;Железобетонные;Соответствует материалу стен;Ленточный;2;0.00;Вытяжная вентиляция;Центральное;Внутренние водостоки;Отсутствует;Центральное (закрытая система);Отсутствует;Центральное;Центральное;Центральное
http://dom.mingkh.ru/chelyabinskaya-oblast/chelyabinsk/533395;п. Аэропорт 10;1960;Не имеется;Нет;-;27;Не присвоен;-;3;-;3;3;-;1110.10;458.40;506.90;7571.00;0.00;несерийный;Не имеется;На счете регионального оператора;Многоквартирный дом;нет;-;Блочные;340.70;Скатная;Отсутствует;Железобетонные;Соответствует материалу стен;Ленточный;1;0.00;Приточно-вытяжная вентиляция;Центральное;Наружные водостоки;Центральное;Центральное (открытая система);Отсутствует;Центральное;Центральное;Центральное
http://dom.mingkh.ru/chelyabinskaya-oblast/chelyabinsk/533403;п. Аэропорт 18;1985;Есть;Нет;-;60;Не присвоен;-;4;-;5;5;-;3218.70;0.00;997.10;5291.00;0.00;ТКБУ-1;Не имеется;На счете регионального оператора;Многоквартирный дом;нет;-;Блочные;628.40;Плоская;Отсутствует;Железобетонные;Соответствует материалу стен;Ленточный;1;0.00;Приточно-вытяжная вентиляция;Центральное;Внутренние водостоки;Центральное;Центральное (открытая система);Отсутствует;Центральное;Центральное;Центральное
http://dom.mingkh.ru/chelyabinskaya-oblast/chelyabinsk/533406;п. Аэропорт 25;1994;Не имеется;Нет;-;60;-;-;4;-;5;5;-;3230.00;0.00;1019.40;9205.00;0.00;ТКБУ-1;Не имеется;На счете регионального оператора;Многоквартирный дом;нет;-;Панельные;692.30;Плоская;Отсутствует;Железобетонные;Соответствует материалу стен;Ленточный;1;0.00;Приточно-вытяжная вентиляция;Центральное;Внутренние водостоки;Отсутствует;Центральное (открытая система);Отсутствует;Центральное;Центральное;Центральное
http://dom.mingkh.ru/chelyabinskaya-oblast/chelyabinsk/533407;п. Аэропорт 26;1993;Есть;Нет;-;68;Не присвоен;-;1;-;5;5;-;2371.50;74.80;1065.10;3285.00;0.00;1-447С;Не имеется;На счете регионального оператора;Многоквартирный дом;нет;-;Каменные, кирпичные;573.50;Плоская;Отсутствует;Железобетонные;Соответствует материалу стен;Ленточный;1;0.00;Приточно-вытяжная вентиляция;Центральное;Внутренние водостоки;Отсутствует;Центральное (открытая система);Отсутствует;Центральное;Центральное;Центральное
http://dom.mingkh.ru/chelyabinskaya-oblast/chelyabinsk/596161;п. Аэропорт 19;1984;Не имеется;Нет;Не имеется;60;Не присвоен;-;4;-;5;5;-;3261.60;0.00;945.50;8355.00;0.00;ТКБУ-1;Не имеется;-;Многоквартирный дом;иного оборудования нет;2;Панельные;673.50;Плоская;На лестничной клетке;Железобетонные;Соответствует материалу стен;Ленточный;2;0.00;Вытяжная вентиляция;Центральное;Внутренние водостоки;Отсутствует;Центральное (закрытая система);Отсутствует;Центральное;Центральное;Центральное
http://dom.mingkh.ru/chelyabinskaya-oblast/chelyabinsk/596162;п. Аэропорт 21;1988;Не имеется;Нет;Не имеется;59;Не присвоен;-;4;-;5;5;1;3474.90;319.20;1723.00;4715.00;0.00;ТКБУ-1;Не имеется;На специальном счете у регионального оператора;Многоквартирный дом;-;-;Панельные;717.80;Плоская;Отсутствует;Железобетонные;Соответствует материалу стен;Ленточный;2;0.00;Вытяжная вентиляция;Центральное;Внутренние водостоки;Центральное;Центральное (закрытая система);Отсутствует;Центральное;Центральное;Центральное
http://dom.mingkh.ru/chelyabinskaya-oblast/chelyabinsk/596163;п. Аэропорт 23;1990;Не имеется;Нет;Не имеется;60;Не присвоен;-;4;-;5;5;-;3263.00;0.00;1008.10;3403.00;0.00;ТКБУ-1;Не имеется;На специальном счете у регионального оператора;Многоквартирный дом;-;-;Панельные;717.80;Плоская;Отсутствует;Железобетонные;Соответствует материалу стен;Ленточный;2;0.00;Вытяжная вентиляция;Центральное;Внутренние водостоки;Центральное;Центральное (закрытая система);Отсутствует;Центральное;Центральное;Центральное
http://dom.mingkh.ru/chelyabinskaya-oblast/chelyabinsk/678845;г. Трехгорный-1 ул. Дружбы 1;1958;Не имеется;Нет;-;12;Не присвоен;-;2;-;2;2;1;555.15;421.21;1254.78;4066.50;0.00;1-202-1;Не имеется;Не определен;Многоквартирный дом;-;-;Каменные, кирпичные;0.00;Скатная;Отсутствует;Деревянные;Окрашенный;Ленточный;1;0.00;Вытяжная вентиляция;Центральное;Внутренние водостоки;Центральное;Отсутствует;Пожарные гидранты;Центральное;Центральное;Центральное
